city,country,lat,lng,temp,humidity,cloudiness,wind_speed
Narasannapeta,IN,18.42,84.05,82.87,82,5,4.18
Berdigestyakh,RU,62.1,126.7,55.35,88,100,3.09
Karratha,AU,-20.74,116.85,88.57,20,0,20.4
Aklavik,CA,68.22,-135.01,59.0,36,20,5.37
Mandalgovi,MN,45.76,106.27,57.94,68,100,4.9
Villa Carlos Paz,AR,-31.42,-64.5,52.14,49,78,11.41
Voh,NC,-20.97,164.7,77.05,48,1,17.11
Vila Franca do Campo,PT,37.72,-25.43,75.2,78,75,5.82
Kangaatsiaq,GL,68.31,-53.46,43.43,85,96,10.0
Lodja,CD,-3.48,23.43,70.39,95,97,2.37
Adrar,MR,20.5,-10.07,92.39,13,26,16.55
Campos dos Goytacazes,BR,-21.75,-41.3,71.2,85,0,11.21
Flinders,AU,-34.58,150.86,69.46,54,0,8.99
São Gonçalo dos Campos,BR,-12.43,-38.97,67.55,98,49,3.04
Acaraú,BR,-2.89,-40.12,78.53,76,55,19.46
Acajutla,SV,13.59,-89.83,69.01,99,100,4.03
Manokwari,ID,-0.87,134.08,83.01,71,88,11.16
Benjamin Constant,BR,-4.38,-70.03,78.8,94,100,3.49
Vangaindrano,MG,-23.35,47.6,67.23,90,0,6.53
Hualmay,PE,-11.1,-77.61,60.64,85,60,8.16
Denpasar,ID,-8.65,115.22,82.4,74,20,17.22
Nchelenge,ZM,-9.35,28.73,70.77,58,14,3.11
Tirumullaivāsal,IN,11.23,79.83,83.12,71,85,9.69
Narsaq,GL,60.92,-46.05,60.8,31,76,24.16
Maracaibo,VE,10.63,-71.64,82.9,74,13,13.49
Temirtau,KZ,50.05,72.95,48.2,87,0,4.47
Porto-Novo,BJ,6.5,2.6,77.0,88,20,11.41
Sjøvegan,NO,68.87,17.85,42.78,93,99,8.05
Māndvi,IN,22.83,69.37,81.84,85,100,14.18
Broken Hill,AU,-31.95,141.43,75.2,14,83,20.8
Bloomington,US,44.84,-93.3,66.09,52,1,3.36
Faya,SA,18.39,42.45,66.2,48,3,4.18
Ciudad Bolivar,VE,8.12,-63.55,78.87,81,91,6.58
Autazes,BR,-3.58,-59.13,74.35,94,3,1.63
Clyde River,CA,70.47,-68.59,41.0,93,1,2.24
Beyşehir,TR,37.68,31.72,62.69,30,0,1.45
Xapuri,BR,-10.65,-68.5,82.83,43,8,2.53
Henties Bay,NA,-22.12,14.28,48.99,80,0,12.41
Tete,MZ,-16.16,33.59,69.8,46,7,1.95
Tautira,PF,-17.73,-149.15,84.2,62,40,10.29
Kumluca,TR,36.37,30.29,86.67,33,0,4.63
Mwinilunga,ZM,-11.74,24.43,67.57,59,79,0.63
Chapais,CA,49.78,-74.85,51.8,81,90,4.7
Witu,KE,-2.39,40.44,72.95,87,46,7.7
Saint George,US,37.1,-113.58,94.77,17,1,14.99
Turukhansk,RU,65.82,87.98,56.37,69,89,2.55
Shache,CN,38.42,77.24,72.7,29,100,5.97
Kodinsk,RU,58.69,99.18,62.17,64,0,4.05
Jalu,LY,29.03,21.55,78.42,46,0,5.48
Porto de Moz,BR,-1.75,-52.24,77.72,73,41,4.21
Caraúbas,BR,-5.79,-37.56,74.71,67,96,12.28
Desbiens,CA,48.42,-71.95,53.6,87,90,6.93
Nanzhou,CN,29.36,112.4,82.22,77,0,5.23
Dukat,RU,62.55,155.55,42.31,79,100,5.28
Port Lincoln,AU,-34.73,135.87,57.61,60,66,21.5
Burley,US,42.54,-113.79,84.2,20,1,6.93
Ankang,CN,32.68,109.02,76.46,74,100,2.84
Los Llanos de Aridane,ES,28.66,-17.92,68.29,73,75,17.22
Brae,GB,60.4,-1.35,46.4,75,100,5.82
